id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
1,Flensburg – Schleswig,178625,36421,45508,10317,19189,7475,33300,1715,1844,1990,138,,132,194,,,,12,,,40,,,157,,118,,2866,,,,,,73,,,16415,318,,403
2,Nordfriesland – Dithmarschen Nord,144145,35511,37926,8798,18350,4437,22588,1081,1322,1604,146,,121,125,,,,26,,,33,,,130,,59,,1836,,,,,,60,,,9516,239,,237
3,Steinburg – Dithmarschen Süd,135109,32842,37468,11303,18492,4524,19237,1713,1346,1719,190,,105,250,,,,25,,,29,,,118,,77,,1712,,,,,,84,,,3366,283,,226
4,Rendsburg-Eckernförde,160955,38517,43148,10564,19322,5163,28828,1174,1618,1728,158,,122,127,,,,33,,,23,,,136,,69,,2375,,,,,,49,,,7304,244,,253
5,Kiel,155068,23920,40338,7654,16110,9430,44089,954,2185,1676,122,,116,171,,,,39,,,88,,,299,,114,,1924,,,,,,50,,,4486,747,,556
6,Plön – Neumünster,132527,30290,38670,9741,15901,4232,23051,1275,1300,1446,242,,94,98,,,,23,,,34,,,111,,70,,2007,,,,,,94,,,3203,415,,230
7,Pinneberg,190270,42057,55693,13080,25663,6363,34291,1731,1805,2320,188,,202,208,,,,21,,,59,,,182,,127,,2389,,,,,,108,,,2527,799,,457
8,Segeberg – Stormarn-Mitte,198265,44285,56658,14527,27675,6468,33361,2297,2226,2663,225,,194,202,,,,30,,,54,,,186,,119,,2839,,,,,,53,,,3108,586,,509
9,Ostholstein – Stormarn-Nord,141966,35564,42520,10073,17986,4036,22314,1603,1104,1729,198,,102,111,,,,13,,,28,,,88,,65,,1691,,,,,,29,,,2241,182,,289
10,Herzogtum Lauenburg – Stormarn-Süd,195587,45364,56422,14682,27725,6325,32475,2204,1791,2283,261,,217,155,,,,29,,,82,,,160,,105,,2237,,,,,,48,,,1746,829,,447
11,Lübeck,130237,23628,39704,8827,13626,5785,29229,1296,1329,1495,166,,134,122,,,,71,,,46,,,196,,106,,1531,,,,,,67,,,1666,663,,550
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,154163,26383,49271,24185,13242,16604,12419,2476,1252,2645,1112,1023,151,,,,,117,,,121,,,175,,,,2207,,,,,,,,,,399,,381
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,144104,24621,46846,24673,11638,14979,10147,2384,1019,2562,889,624,195,,,,,65,,,109,,,157,,,,2610,,,,,,,,,,332,,254
14,Rostock – Landkreis Rostock II,162977,23103,47280,20658,14852,21491,20941,1871,2036,3935,696,854,274,,,,,152,,,147,,,290,,,,3488,,,,,,,,,,408,,501
15,Vorpommern-Rügen – Vorpommern-Greifswald I,165779,30910,41583,31303,13776,18857,14654,1975,1576,5169,758,797,201,,,,,123,,,152,,,295,,,,2904,,,,,,,,,,392,,354
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,151038,28684,40339,35102,11438,15370,6616,2183,1033,3803,2006,518,123,,,,,89,,,140,,,220,,,,2822,,,,,,,,,,348,,204
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,140798,26402,42049,29421,10609,14434,7179,2455,984,2468,939,443,245,,,,,163,,,85,,,140,,,,2305,,,,,,,,,,267,,210
18,Hamburg-Mitte,178555,19982,51170,9100,18723,15593,49791,974,2494,2486,130,905,370,303,,,,70,,,112,,,275,,398,,2396,,,,77,,50,,,,2019,,1137
19,Hamburg-Altona,152095,22478,38865,5036,16543,13667,46162,524,1593,1405,56,571,246,160,,,,84,,,92,,,129,,228,,2237,,,,55,,24,,,,1054,,886
20,Hamburg-Eimsbüttel,160365,23843,44911,5662,18190,10847,47983,761,1358,1682,53,500,235,139,,,,47,,,100,,,149,,188,,1895,,,,42,,24,,,,850,,906
21,Hamburg-Nord,184691,34387,51575,6811,26247,8741,46531,939,1443,1893,79,606,292,220,,,,48,,,72,,,182,,150,,2535,,,,53,,64,,,,875,,948
22,Hamburg-Wandsbek,172821,29103,59298,11290,19225,8852,32134,1084,1615,2561,169,1048,427,202,,,,49,,,69,,,235,,169,,2481,,,,83,,44,,,,1871,,812
23,Hamburg-Bergedorf – Harburg,157017,25427,52523,12638,15674,9878,27931,1319,1644,2298,161,747,446,195,,,,50,,,87,,,233,,208,,2417,,,,76,,42,,,,2283,,740
24,Aurich – Emden,136194,24066,59038,11173,12113,4671,17668,1769,1130,2220,147,430,82,65,,,,18,,,34,,,86,,86,,1027,,,,,,24,,,,149,,198
25,Unterems,174276,52067,59229,14248,17671,4650,18576,856,1649,2044,161,534,58,97,,,,18,,,28,,,103,,92,,1619,,,,,,31,,,,211,,334
26,Friesland – Wilhelmshaven – Wittmund,132930,28535,50448,10951,13874,4122,17020,1512,1539,2201,125,419,62,92,,,,50,,,21,,,115,,91,,1155,,,,,,34,,,,298,,266
27,Oldenburg – Ammerland,172550,32100,55231,8903,17674,8344,40919,1041,1481,2009,107,795,247,137,,,,29,,,51,,,176,,85,,1729,,,,,,58,,,,428,,1006
28,Delmenhorst – Wesermarsch – Oldenburg-Land,162158,36649,55621,12987,18571,5046,23973,1555,1545,2310,150,598,87,108,,,,23,,,26,,,134,,83,,1698,,,,,,57,,,,590,,347
