id,wahlkreisname,gesamt,SPD,CDU,GRÜNE,FDP,AfD,LINKE,BASIS,FW,HUMANISTEN,PARTEI,GESUNDHEITSFORSCHUNG,TIERSCHUTZPARTEI,PIRATEN,VOLT
1,Braunschweig-Nord,41425,12695,8197,11377,2282,2452,1516,528,203,139,556,86,586,244,564
2,Braunschweig-Süd,37912,13420,9442,5749,1888,4231,1040,463,212,76,319,107,553,201,211
3,Braunschweig-West,41217,13097,8211,9714,2078,3288,1751,458,211,173,689,118,659,236,534
4,Peine,48354,18226,12438,5510,1914,5904,1043,830,631,96,369,182,790,187,234
5,Gifhorn-Nord/Wolfsburg,43576,15000,12212,3949,1823,7336,907,540,273,84,423,126,616,146,141
6,Gifhorn-Süd,49152,16823,12528,6634,2107,7070,1134,687,299,86,424,138,756,190,276
7,Wolfsburg,39488,14489,10193,4655,1880,4920,978,556,192,66,321,123,645,183,287
8,Helmstedt,41703,14901,11362,4145,1985,5722,1022,607,302,47,327,166,795,185,137
9,Wolfenbüttel-Nord,37327,12979,9773,6040,1986,3546,961,454,207,67,392,101,527,155,139
10,Wolfenbüttel-Süd/Salzgitter,33774,12971,8504,3025,1328,5088,980,350,243,41,337,135,574,119,79
11,Salzgitter,32361,12924,6779,2693,1081,5945,1131,341,233,51,328,134,543,105,73
12,Göttingen/Harz,40014,15580,10906,3552,1657,5138,1073,507,238,57,336,109,616,144,101
13,Goslar,41765,15420,10709,4412,1631,6011,1238,435,425,64,404,135,675,110,96
14,Duderstadt,34336,10721,11565,4684,1766,3047,775,258,411,50,369,81,398,93,118
15,Göttingen/Münden,30429,11395,7710,4427,1254,3004,837,304,319,51,312,103,461,121,131
16,Göttingen-Stadt,41651,11760,7052,13963,1900,1901,2727,277,157,145,640,100,456,167,406
17,Northeim,33499,12940,8666,3777,1510,4025,875,427,208,65,247,100,460,90,109
18,Einbeck,39995,15607,10135,4250,2368,4817,927,444,221,50,288,130,543,130,85
19,Holzminden,31608,12008,7931,3359,1971,4042,678,364,218,39,220,90,471,130,87
20,Hildesheim,41542,13771,9939,8416,1868,3533,1781,357,272,73,565,84,541,176,166
21,Sarstedt/Bad Salzdetfurth,48754,17670,13515,5850,2170,5927,996,416,503,83,401,128,727,245,123
22,Alfeld,41242,15860,11115,4587,1635,4953,991,390,250,56,272,120,593,323,97
23,Hannover-Döhren,43494,13150,11098,9513,2855,2942,1265,374,199,126,505,125,618,234,490
24,Hannover-Buchholz,41287,12966,10620,7807,2402,4017,1283,321,251,93,407,117,578,180,245
25,Hannover-Linden,39367,11952,5375,11349,1308,3118,2857,362,140,137,1097,104,765,367,436
26,Hannover-Ricklingen,45382,15245,9036,10723,2070,3463,1657,397,228,160,688,95,784,268,568
27,Hannover-Mitte,52516,15532,7688,17143,2763,2750,2711,399,246,198,1010,139,811,317,809
28,Laatzen,37353,13086,10090,4984,1719,4577,925,256,338,65,318,113,570,188,124
29,Lehrte,45127,15710,11840,6369,2166,4941,997,497,782,78,410,161,781,243,152
30,Langenhagen,46133,14883,13620,6273,2843,5046,975,353,303,71,428,157,793,197,191
31,Garbsen/Wedemark,40291,13588,11473,5158,2325,4702,751,421,247,71,285,105,900,162,103
32,Neustadt/Wunstorf,42793,14884,11938,5738,2209,4788,881,524,242,93,370,126,669,193,138
33,Barsinghausen,39057,13904,10396,5694,1742,4330,862,364,259,62,362,108,661,192,121
34,Springe,43264,15078,10992,7201,2126,4400,969,437,338,81,397,99,681,288,177
35,Bad Pyrmont,33472,11781,9363,3982,1297,4561,737,458,203,40,208,96,521,137,88
36,Schaumburg,49105,17630,12814,6788,2035,5664,1043,424,882,79,519,176,785,161,105
37,Hameln/Rinteln,41140,14233,10982,5351,1722,5607,968,641,219,62,362,162,596,133,102
