id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
1,Flensburg – Schleswig,178625,36421,45508,10317,19189,7475,33300,1715,1844,1990,138,0,132,194,0,0,0,12,0,0,40,0,0,157,0,118,0,2866,0,0,0,0,0,73,0,0,16415,318,0,403
2,Nordfriesland – Dithmarschen Nord,144145,35511,37926,8798,18350,4437,22588,1081,1322,1604,146,0,121,125,0,0,0,26,0,0,33,0,0,130,0,59,0,1836,0,0,0,0,0,60,0,0,9516,239,0,237
3,Steinburg – Dithmarschen Süd,135109,32842,37468,11303,18492,4524,19237,1713,1346,1719,190,0,105,250,0,0,0,25,0,0,29,0,0,118,0,77,0,1712,0,0,0,0,0,84,0,0,3366,283,0,226
4,Rendsburg-Eckernförde,160955,38517,43148,10564,19322,5163,28828,1174,1618,1728,158,0,122,127,0,0,0,33,0,0,23,0,0,136,0,69,0,2375,0,0,0,0,0,49,0,0,7304,244,0,253
5,Kiel,155068,23920,40338,7654,16110,9430,44089,954,2185,1676,122,0,116,171,0,0,0,39,0,0,88,0,0,299,0,114,0,1924,0,0,0,0,0,50,0,0,4486,747,0,556
6,Plön – Neumünster,132527,30290,38670,9741,15901,4232,23051,1275,1300,1446,242,0,94,98,0,0,0,23,0,0,34,0,0,111,0,70,0,2007,0,0,0,0,0,94,0,0,3203,415,0,230
7,Pinneberg,190270,42057,55693,13080,25663,6363,34291,1731,1805,2320,188,0,202,208,0,0,0,21,0,0,59,0,0,182,0,127,0,2389,0,0,0,0,0,108,0,0,2527,799,0,457
8,Segeberg – Stormarn-Mitte,198265,44285,56658,14527,27675,6468,33361,2297,2226,2663,225,0,194,202,0,0,0,30,0,0,54,0,0,186,0,119,0,2839,0,0,0,0,0,53,0,0,3108,586,0,509
9,Ostholstein – Stormarn-Nord,141966,35564,42520,10073,17986,4036,22314,1603,1104,1729,198,0,102,111,0,0,0,13,0,0,28,0,0,88,0,65,0,1691,0,0,0,0,0,29,0,0,2241,182,0,289
10,Herzogtum Lauenburg – Stormarn-Süd,195587,45364,56422,14682,27725,6325,32475,2204,1791,2283,261,0,217,155,0,0,0,29,0,0,82,0,0,160,0,105,0,2237,0,0,0,0,0,48,0,0,1746,829,0,447
11,Lübeck,130237,23628,39704,8827,13626,5785,29229,1296,1329,1495,166,0,134,122,0,0,0,71,0,0,46,0,0,196,0,106,0,1531,0,0,0,0,0,67,0,0,1666,663,0,550
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,154163,26383,49271,24185,13242,16604,12419,2476,1252,2645,1112,1023,151,0,0,0,0,117,0,0,121,0,0,175,0,0,0,2207,0,0,0,0,0,0,0,0,0,399,0,381
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,144104,24621,46846,24673,11638,14979,10147,2384,1019,2562,889,624,195,0,0,0,0,65,0,0,109,0,0,157,0,0,0,2610,0,0,0,0,0,0,0,0,0,332,0,254
14,Rostock – Landkreis Rostock II,162977,23103,47280,20658,14852,21491,20941,1871,2036,3935,696,854,274,0,0,0,0,152,0,0,147,0,0,290,0,0,0,3488,0,0,0,0,0,0,0,0,0,408,0,501
15,Vorpommern-Rügen – Vorpommern-Greifswald I,165779,30910,41583,31303,13776,18857,14654,1975,1576,5169,758,797,201,0,0,0,0,123,0,0,152,0,0,295,0,0,0,2904,0,0,0,0,0,0,0,0,0,392,0,354
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,151038,28684,40339,35102,11438,15370,6616,2183,1033,3803,2006,518,123,0,0,0,0,89,0,0,140,0,0,220,0,0,0,2822,0,0,0,0,0,0,0,0,0,348,0,204
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,140798,26402,42049,29421,10609,14434,7179,2455,984,2468,939,443,245,0,0,0,0,163,0,0,85,0,0,140,0,0,0,2305,0,0,0,0,0,0,0,0,0,267,0,210
18,Hamburg-Mitte,178555,19982,51170,9100,18723,15593,49791,974,2494,2486,130,905,370,303,0,0,0,70,0,0,112,0,0,275,0,398,0,2396,0,0,0,77,0,50,0,0,0,2019,0,1137
19,Hamburg-Altona,152095,22478,38865,5036,16543,13667,46162,524,1593,1405,56,571,246,160,0,0,0,84,0,0,92,0,0,129,0,228,0,2237,0,0,0,55,0,24,0,0,0,1054,0,886
20,Hamburg-Eimsbüttel,160365,23843,44911,5662,18190,10847,47983,761,1358,1682,53,500,235,139,0,0,0,47,0,0,100,0,0,149,0,188,0,1895,0,0,0,42,0,24,0,0,0,850,0,906
21,Hamburg-Nord,184691,34387,51575,6811,26247,8741,46531,939,1443,1893,79,606,292,220,0,0,0,48,0,0,72,0,0,182,0,150,0,2535,0,0,0,53,0,64,0,0,0,875,0,948
22,Hamburg-Wandsbek,172821,29103,59298,11290,19225,8852,32134,1084,1615,2561,169,1048,427,202,0,0,0,49,0,0,69,0,0,235,0,169,0,2481,0,0,0,83,0,44,0,0,0,1871,0,812
23,Hamburg-Bergedorf – Harburg,157017,25427,52523,12638,15674,9878,27931,1319,1644,2298,161,747,446,195,0,0,0,50,0,0,87,0,0,233,0,208,0,2417,0,0,0,76,0,42,0,0,0,2283,0,740
24,Aurich – Emden,136194,24066,59038,11173,12113,4671,17668,1769,1130,2220,147,430,82,65,0,0,0,18,0,0,34,0,0,86,0,86,0,1027,0,0,0,0,0,24,0,0,0,149,0,198
25,Unterems,174276,52067,59229,14248,17671,4650,18576,856,1649,2044,161,534,58,97,0,0,0,18,0,0,28,0,0,103,0,92,0,1619,0,0,0,0,0,31,0,0,0,211,0,334
26,Friesland – Wilhelmshaven – Wittmund,132930,28535,50448,10951,13874,4122,17020,1512,1539,2201,125,419,62,92,0,0,0,50,0,0,21,0,0,115,0,91,0,1155,0,0,0,0,0,34,0,0,0,298,0,266
27,Oldenburg – Ammerland,172550,32100,55231,8903,17674,8344,40919,1041,1481,2009,107,795,247,137,0,0,0,29,0,0,51,0,0,176,0,85,0,1729,0,0,0,0,0,58,0,0,0,428,0,1006
28,Delmenhorst – Wesermarsch – Oldenburg-Land,162158,36649,55621,12987,18571,5046,23973,1555,1545,2310,150,598,87,108,0,0,0,23,0,0,26,0,0,134,0,83,0,1698,0,0,0,0,0,57,0,0,0,590,0,347
29,Cuxhaven – Stade II,139716,36586,48858,11000,14052,3672,17553,1535,1145,2405,180,433,87,100,0,0,0,16,0,0,20,0,0,90,0,79,0,1418,0,0,0,0,0,31,0,0,0,231,0,225
30,Stade I – Rotenburg II,150886,39969,48301,11002,16720,4301,22091,1620,1388,1881,175,691,118,107,0,0,0,17,0,0,28,0,0,119,0,80,0,1485,0,0,0,0,0,42,0,0,0,373,0,378
31,Mittelems,179439,60733,55461,9235,21101,3969,22515,723,1521,1592,107,423,97,74,0,0,0,17,0,0,22,0,0,132,0,90,0,1070,0,0,0,0,0,23,0,0,0,291,0,243
32,Cloppenburg – Vechta,163352,62837,40212,12772,19747,3549,18093,792,1093,1579,104,474,80,67,0,0,0,12,0,0,17,0,0,104,0,92,0,1088,0,0,0,0,0,49,0,0,0,268,0,323
33,Diepholz – Nienburg I,145972,36915,48196,10372,17628,3920,21139,1322,1294,1774,123,465,113,98,0,0,0,21,0,0,12,0,0,118,0,78,0,1722,0,0,0,0,0,39,0,0,0,395,0,228
34,Osterholz – Verden,150219,36183,49430,11329,15653,5253,24183,1494,1134,1986,125,443,105,112,0,0,0,34,0,0,27,0,0,131,0,103,0,1661,0,0,0,0,0,50,0,0,0,440,0,343
35,Rotenburg I – Heidekreis,124204,31119,43196,9945,12526,3536,16857,1433,1057,1754,186,444,107,90,0,0,0,14,0,0,17,0,0,94,0,74,0,1192,0,0,0,0,0,42,0,0,0,180,0,341
36,Harburg,160742,39850,46765,11671,20426,4682,26777,2404,1193,2360,138,568,141,113,0,0,0,23,0,0,23,0,0,130,0,95,0,2452,0,0,0,0,0,151,0,0,0,433,0,347
37,Lüchow-Dannenberg – Lüneburg,138106,29032,41262,9145,13241,6328,30585,1161,1489,1681,179,453,147,91,0,0,0,25,0,0,65,0,0,119,0,94,0,2399,0,0,0,0,0,53,0,0,0,189,0,368
38,Osnabrück-Land,150458,42864,48352,10069,16653,3870,22160,824,1090,1397,123,403,88,85,0,0,0,12,0,0,31,0,0,89,0,65,0,1760,0,0,0,0,0,16,0,0,0,300,0,207
39,Stadt Osnabrück,148510,34462,44919,6903,14627,6224,34546,543,1341,1284,80,437,125,76,0,0,0,11,0,0,52,0,0,153,0,79,0,1482,0,0,0,0,0,25,0,0,0,598,0,543
40,Nienburg II – Schaumburg,141792,33968,49553,12434,14213,3842,19968,1335,1211,2078,154,552,72,97,0,0,0,16,0,0,21,0,0,108,0,79,0,1457,0,0,0,0,0,32,0,0,0,352,0,250
41,Stadt Hannover I,127586,23410,39511,7677,13282,5768,30360,691,1161,1400,87,681,103,121,0,0,0,55,0,0,63,0,0,180,0,72,0,1192,0,0,0,0,0,25,0,0,0,1073,0,674
42,Stadt Hannover II,142450,22537,40116,6753,13288,8831,41976,698,1705,1479,59,769,122,189,0,0,0,70,0,0,89,0,0,199,0,109,0,1440,0,0,0,0,0,20,0,0,0,1070,0,931
43,Hannover-Land I,172702,44529,55464,13295,19550,4504,26219,1077,1355,2637,130,692,113,95,0,0,0,36,0,0,33,0,0,141,0,72,0,1564,0,0,0,0,0,66,0,0,0,802,0,328
44,Celle – Uelzen,156830,40993,48332,14423,17990,4680,21882,1578,1454,2169,176,566,128,124,0,0,0,16,0,0,34,0,0,99,0,75,0,1592,0,0,0,0,0,28,0,0,0,225,0,266
45,Gifhorn – Peine,164830,37839,58846,16048,16238,4147,21960,1627,1429,2256,174,642,184,113,0,0,0,28,0,0,32,0,0,133,0,121,0,1942,0,0,0,0,0,74,0,0,0,582,0,415
46,Hameln-Pyrmont – Holzminden,131609,29809,48438,11590,13624,3734,17274,1122,963,1845,152,463,72,95,0,0,0,10,0,0,23,0,0,113,0,79,0,1546,0,0,0,0,0,30,0,0,0,416,0,211
