id,Thema,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
1,Tempolimit auf Autobahnen ,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,-1,0,1,0,1,1,-1,-1,0,0,1,1,0,1,0,0,-1,1,-1,-1,1,1,-1,-1,1
2,Erhöhung der Verteidigungsausgaben,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,1,0,1,-1,1,1,1,-1,0,-1,0,-1
3,Wählen ab 16,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,0,0,1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,0,1,1,0,0,1
4,Windenergie,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,1,-1,0,1,-1,0,-1,-1,0,1,-1,1,1,1,1,-1,0,-1,-1,1,-1
5,Begrenzung für Mieterhöhungen,0,1,-1,-1,1,1,-1,1,1,0,1,1,1,1,-1,1,1,0,1,1,1,1,0,0,1,1,1,-1,-1,1,-1,1,-1,0,0,1,-1,1,1
6,Patentschutz für Impfstoffe,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,-1,0,-1,1,0,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,0,-1,0,-1
7,Ausstieg aus der Kohleverstromung,-1,1,-1,0,1,1,-1,1,1,-1,1,1,1,1,1,1,1,0,0,1,0,-1,1,0,1,1,0,-1,1,-1,-1,-1,-1,0,1,1,-1,0,1
8,Gesetzliche Rentenversicherung,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1
9,Abschaffung des Familiennachzugs,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
10,Steuer auf digitale Dienstleistungen,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1
11,Traditionelle Familie,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,0,1,-1,-1,1,-1,0,-1,-1,1,1,0,1,-1,1,-1,-1,-1,-1,-1,1,-1
12,Parteispenden,1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,-1,-1,1,1,0,1,1,-1,1,-1,1,1,0,1
13,Elternunabhängiges BAföG,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,-1,1,1,-1,1,0,1,1,0,-1,-1,1,-1,1,1,-1,1,1,1,0,1
14,Doppelte Staatsbürgerschaft,-1,1,-1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,0,-1,1,-1,-1,1,0,1,1,0,1,-1,-1,-1,-1,-1,1,0,1,1,-1,1
15,Sprachliche Berücksichtigung von Geschlechtsidentitäten,0,1,-1,0,1,1,0,1,1,-1,0,-1,1,1,-1,0,1,0,1,1,-1,-1,0,0,1,0,-1,-1,-1,-1,-1,1,-1,1,1,0,-1,-1,1
16,Nord Stream 2,1,1,1,0,0,-1,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,1,1,0,1,0,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,-1
17,Abschaffung des Solidaritätszuschlags,1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,0,0,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
